cbsa_code,cbsa_title,cbsa_type,state_list,region,county_count,population_latest,population_2019,population_growth_pct_2019_latest,population_cagr_2019_latest,net_migration_rate,age_share_under_18,age_share_65_plus,race_ethnicity_shares,pop_size_bin,pop_growth_bin,nchs_urban_rural_dominant,nchs_large_central_metro_share,nchs_large_fringe_metro_share,nchs_medium_metro_share,nchs_small_metro_share,nchs_micro_noncore_share,urban_core_flag,rucc_dominant,rucc_population_weighted_mean,uic_dominant,uic_population_weighted_mean,metro_adjacent_share,rurality_cluster,farming_dependent_share,mining_dependent_share,manufacturing_dependent_share,government_dependent_share,recreation_dependent_share,nonspecialized_share,dominant_county_typology,gdp_total,gdp_per_capita,gdp_growth_pct_2019_latest,industry_share_information,industry_share_finance,industry_share_healthcare,industry_share_accommodation_food,industry_share_arts_entertainment_recreation,industry_share_retail,dominant_gdp_industry,economic_diversity_hhi,avg_weekly_wage,local_service_economy_index,natural_amenities_bin,climate_cluster,dominant_ecoregion_level_3,svi_overall_population_weighted,svi_overall_quintile,source_vintage_summary,attribute_completeness_score
10100,"Aberdeen, SD",Micropolitan Statistical Area,SD,midwest,2,42668,42668,,,,,,,medium,unknown,micro_proxy,,,,,,0,,,,,,micro_or_unknown,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,0.529
10140,"Aberdeen, WA",Micropolitan Statistical Area,WA,west,1,75061,75061,,,,,,,large,unknown,micro_proxy,,,,,,0,,,,,,micro_or_unknown,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,0.529
10180,"Abilene, TX",Metropolitan Statistical Area,TX,south,3,172060,172060,,,,,,,very_large,unknown,small_metro_proxy,,,,,,1,,,,,,metro,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,0.529
10220,"Ada, OK",Micropolitan Statistical Area,OK,south,1,38284,38284,,,,,,,medium,unknown,micro_proxy,,,,,,0,,,,,,micro_or_unknown,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,0.529
10300,"Adrian, MI",Micropolitan Statistical Area,MI,midwest,1,98451,98451,,,,,,,large,unknown,micro_proxy,,,,,,0,,,,,,micro_or_unknown,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,0.529
10380,"Aguadilla, PR",Metropolitan Statistical Area,PR,unknown,7,,,,,,,,,unknown,unknown,small_metro_proxy,,,,,,1,,,,,,metro,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,0.412
10420,"Akron, OH",Metropolitan Statistical Area,OH,midwest,2,703479,703479,,,,,,,mega,unknown,medium_metro_proxy,,,,,,1,,,,,,metro,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,0.529
10460,"Alamogordo, NM",Micropolitan Statistical Area,NM,west,1,67490,67490,,,,,,,large,unknown,micro_proxy,,,,,,0,,,,,,micro_or_unknown,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,0.529
10480,"Alamosa, CO",Micropolitan Statistical Area,CO,west,3,28325,28325,,,,,,,small,unknown,micro_proxy,,,,,,0,,,,,,micro_or_unknown,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,0.529
10500,"Albany, GA",Metropolitan Statistical Area,GA,south,4,146726,146726,,,,,,,very_large,unknown,small_metro_proxy,,,,,,1,,,,,,metro,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,0.529
10540,"Albany, OR",Metropolitan Statistical Area,OR,west,1,129749,129749,,,,,,,very_large,unknown,small_metro_proxy,,,,,,1,,,,,,metro,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,0.529
10580,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,NY,northeast,5,880381,880381,,,,,,,mega,unknown,medium_metro_proxy,,,,,,1,,,,,,metro,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,0.529
10620,"Albemarle, NC",Micropolitan Statistical Area,NC,south,1,62806,62806,,,,,,,large,unknown,micro_proxy,,,,,,0,,,,,,micro_or_unknown,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,0.529
10660,"Albert Lea, MN",Micropolitan Statistical Area,MN,midwest,1,30281,30281,,,,,,,small,unknown,micro_proxy,,,,,,0,,,,,,micro_or_unknown,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,0.529
10700,"Albertville, AL",Micropolitan Statistical Area,AL,south,1,96774,96774,,,,,,,large,unknown,micro_proxy,,,,,,0,,,,,,micro_or_unknown,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,0.529
10740,"Albuquerque, NM",Metropolitan Statistical Area,NM,west,4,918018,918018,,,,,,,mega,unknown,medium_metro_proxy,,,,,,1,,,,,,metro,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,0.529
10760,"Alexander City, AL",Micropolitan Statistical Area,AL,south,1,40367,40367,,,,,,,medium,unknown,micro_proxy,,,,,,0,,,,,,micro_or_unknown,,,,,,,,,,,,,,,,,,,,,,,,,,2023-07,0.529
