cbsa_code,cbsa_title,msa_block_id,msa_block_compact_id,block_population_count,block_msa_count,block_game_count,is_sparse_block,recommended_for_matching
10300,"Adrian, MI",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
11900,"Athens, OH",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
12660,"Baraboo, WI",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
13180,"Beaver Dam, WI",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
14660,"Brainerd, MN",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
17060,"Chillicothe, OH",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
19180,"Danville, IL",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
22060,"Faribault-Northfield, MN",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
22100,"Farmington, MO",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
22260,"Fergus Falls, MN",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
22300,"Findlay, OH",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
23380,"Fremont, OH",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
26740,"Hutchinson, KS",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
31820,"Manitowoc, WI",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
31930,"Marietta, OH",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
31940,"Marinette, WI-MI",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
31980,"Marion, IN",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
32020,"Marion, OH",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
32060,"Marion-Herrin, IL",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
32100,"Marquette, MI",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
34380,"Mount Pleasant, MI",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
34540,"Mount Vernon, OH",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
35420,"New Philadelphia-Dover, OH",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
35940,"Norwalk, OH",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
37020,"Owosso, MI",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
39020,"Portsmouth, OH",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
39500,"Quincy, IL-MO",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
39980,"Richmond, IN",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
41400,"Salem, OH",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
41460,"Salina, KS",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
44620,"Stevens Point-Plover, WI",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
44780,"Sturgis, MI",midwest|large|micro_proxy|economic_unknown|svi_unknown,large|micro_proxy|service_unknown|svi_unknown,2706561,37,0,True,False
