countyfips,countyname,cityid,cityname,cz,czname,statename,statefips,stateabbrev,county_pop2019,countyfips_str,statefips_str
1001,Autauga,,,11101.0,Montgomery,Alabama,1,AL,55869,01001,01
1003,Baldwin,,,11001.0,Mobile,Alabama,1,AL,223234,01003,01
1005,Barbour,,,10301.0,Eufaula,Alabama,1,AL,24686,01005,01
1007,Bibb,,,10801.0,Tuscaloosa,Alabama,1,AL,22394,01007,01
1009,Blount,,,10700.0,Birmingham,Alabama,1,AL,57826,01009,01
1011,Bullock,,,9800.0,Auburn,Alabama,1,AL,10101,01011,01
1013,Butler,,,11101.0,Montgomery,Alabama,1,AL,19448,01013,01
1015,Calhoun,,,9600.0,LaGrange,Alabama,1,AL,113605,01015,01
1017,Chambers,,,9600.0,LaGrange,Alabama,1,AL,33254,01017,01
1019,Cherokee,,,6600.0,Rome,Alabama,1,AL,26196,01019,01
1021,Chilton,,,10700.0,Birmingham,Alabama,1,AL,44428,01021,01
1023,Choctaw,,,10802.0,Demopolis,Alabama,1,AL,12589,01023,01
1025,Clarke,,,11001.0,Mobile,Alabama,1,AL,23622,01025,01
1027,Clay,,,9500.0,Talladega,Alabama,1,AL,13235,01027,01
1029,Cleburne,,,9600.0,LaGrange,Alabama,1,AL,14910,01029,01
1031,Coffee,,,10302.0,Dothan,Alabama,1,AL,52342,01031,01
1033,Colbert,,,6200.0,Florence,Alabama,1,AL,55241,01033,01
1035,Conecuh,,,11002.0,Atmore,Alabama,1,AL,12067,01035,01
1037,Coosa,,,9500.0,Talladega,Alabama,1,AL,10663,01037,01
1039,Covington,,,11102.0,Troy,Alabama,1,AL,37049,01039,01
1041,Crenshaw,,,11102.0,Troy,Alabama,1,AL,13772,01041,01
1043,Cullman,,,10700.0,Birmingham,Alabama,1,AL,83768,01043,01
1045,Dale,,,10302.0,Dothan,Alabama,1,AL,49172,01045,01
1047,Dallas,,,10801.0,Tuscaloosa,Alabama,1,AL,37196,01047,01
1049,DeKalb,,,6100.0,Gadsden,Alabama,1,AL,71513,01049,01
