year,month,day_endofweek,cityid,merchants_all,revenue_all,week_end_sunday,week_start_monday
2020,1,12,1,0.0131,-0.0108,2020-01-12,2020-01-06
2020,1,12,2,0.0192,0.0266,2020-01-12,2020-01-06
2020,1,12,3,0.0086,-0.0696,2020-01-12,2020-01-06
2020,1,12,4,0.0222,-0.0246,2020-01-12,2020-01-06
2020,1,12,5,-0.00288,0.00356,2020-01-12,2020-01-06
2020,1,12,6,0.0053,-0.00644,2020-01-12,2020-01-06
2020,1,12,7,0.00936,-0.00638,2020-01-12,2020-01-06
2020,1,12,8,0.0129,-0.0334,2020-01-12,2020-01-06
2020,1,12,9,0.0206,0.0254,2020-01-12,2020-01-06
2020,1,12,10,0.0109,0.00215,2020-01-12,2020-01-06
2020,1,12,11,0.0184,-0.0145,2020-01-12,2020-01-06
2020,1,12,12,0.0106,-0.0397,2020-01-12,2020-01-06
2020,1,12,13,0.0109,0.0124,2020-01-12,2020-01-06
2020,1,12,14,0.0169,0.0182,2020-01-12,2020-01-06
2020,1,12,15,0.000208,0.000656,2020-01-12,2020-01-06
2020,1,12,16,0.0145,-0.0492,2020-01-12,2020-01-06
2020,1,12,17,0.0118,0.0232,2020-01-12,2020-01-06
2020,1,12,18,0.00317,-0.000153,2020-01-12,2020-01-06
2020,1,12,19,0.0218,-0.0273,2020-01-12,2020-01-06
2020,1,12,20,0.0145,-0.00211,2020-01-12,2020-01-06
2020,1,12,21,0.00725,-0.0243,2020-01-12,2020-01-06
2020,1,12,22,0.00146,-0.00901,2020-01-12,2020-01-06
2020,1,12,23,0.0188,0.0735,2020-01-12,2020-01-06
2020,1,12,24,0.0193,0.00157,2020-01-12,2020-01-06
2020,1,12,25,0.0309,0.0368,2020-01-12,2020-01-06
2020,1,12,26,0.0167,-0.00811,2020-01-12,2020-01-06
2020,1,12,27,0.0214,-0.0336,2020-01-12,2020-01-06
2020,1,12,28,-0.0111,-0.0407,2020-01-12,2020-01-06
2020,1,12,29,-0.00952,0.0409,2020-01-12,2020-01-06
2020,1,12,30,0.0178,0.0233,2020-01-12,2020-01-06
2020,1,12,31,-0.00239,-0.0902,2020-01-12,2020-01-06
2020,1,12,32,0.00816,0.0217,2020-01-12,2020-01-06
