cityid,cityname,stateabbrev,week_start_monday,league,game_count,completed_game_count,playoff_game_count,championship_game_count,neutral_site_game_count,total_attendance
1,Los Angeles,CA,2018-12-31,NBA,4,4,0,0,0,72478.0
1,Los Angeles,CA,2018-12-31,NHL,2,2,0,0,0,0.0
2,New York City,NY,2018-12-31,NBA,1,1,0,0,0,16890.0
2,New York City,NY,2018-12-31,NHL,2,2,0,0,0,0.0
3,Chicago,IL,2018-12-31,NBA,3,3,0,0,0,59562.0
3,Chicago,IL,2018-12-31,NHL,1,1,0,0,1,0.0
5,Phoenix,AZ,2018-12-31,NBA,2,2,0,0,0,29990.0
7,Dallas,TX,2018-12-31,NHL,2,2,0,0,0,0.0
8,Las Vegas,NV,2018-12-31,NHL,2,2,0,0,0,0.0
11,San Antonio,TX,2018-12-31,NBA,2,2,0,0,0,36708.0
12,San Jose,CA,2018-12-31,NHL,1,1,0,0,0,0.0
13,Detroit,MI,2018-12-31,NBA,1,1,0,0,0,17255.0
13,Detroit,MI,2018-12-31,NHL,3,3,0,0,0,0.0
14,Philadelphia,PA,2018-12-31,NBA,1,1,0,0,0,20656.0
14,Philadelphia,PA,2018-12-31,NHL,2,2,0,0,0,0.0
17,Charlotte,NC,2018-12-31,NBA,1,1,0,0,0,16955.0
20,Memphis,TN,2018-12-31,NBA,2,2,0,0,0,30792.0
24,Portland,OR,2018-12-31,NBA,2,2,0,0,0,38970.0
25,Boston,MA,2018-12-31,NBA,2,2,0,0,0,37248.0
25,Boston,MA,2018-12-31,NHL,2,2,0,0,0,0.0
28,Denver,CO,2018-12-31,NBA,2,2,0,0,0,39381.0
29,Washington,DC,2018-12-31,NBA,1,1,0,0,0,15324.0
30,Nashville,TN,2018-12-31,NHL,1,1,0,0,0,0.0
31,Milwaukee,WI,2018-12-31,NBA,3,3,0,0,0,53194.0
35,Sacramento,CA,2018-12-31,NBA,3,3,0,0,0,52749.0
36,Atlanta,GA,2018-12-31,NBA,1,1,0,0,0,16630.0
38,Miami,FL,2018-12-31,NBA,1,1,0,0,0,19600.0
38,Miami,FL,2018-12-31,NHL,1,1,0,0,0,0.0
39,Raleigh,NC,2018-12-31,NHL,1,1,0,0,0,0.0
41,Oakland,CA,2018-12-31,NBA,1,1,0,0,0,19596.0
42,Minneapolis,MN,2018-12-31,NBA,2,2,0,0,0,33333.0
46,Cleveland,OH,2018-12-31,NBA,3,3,0,0,0,58296.0
1,Los Angeles,CA,2019-01-07,NBA,3,3,0,0,0,50812.0
1,Los Angeles,CA,2019-01-07,NHL,2,2,0,0,0,0.0
2,New York City,NY,2019-01-07,NBA,3,3,0,0,0,52939.0
2,New York City,NY,2019-01-07,NHL,5,5,0,0,0,0.0
3,Chicago,IL,2019-01-07,NHL,3,3,0,0,0,0.0
4,Houston,TX,2019-01-07,NBA,3,3,0,0,0,54165.0
5,Phoenix,AZ,2019-01-07,NBA,3,3,0,0,0,42333.0
7,Dallas,TX,2019-01-07,NBA,2,2,0,0,0,39950.0
7,Dallas,TX,2019-01-07,NHL,1,1,0,0,0,0.0
8,Las Vegas,NV,2019-01-07,NHL,2,2,0,0,0,0.0
11,San Antonio,TX,2019-01-07,NBA,1,1,0,0,0,18354.0
12,San Jose,CA,2019-01-07,NHL,3,3,0,0,0,0.0
13,Detroit,MI,2019-01-07,NBA,1,1,0,0,0,13107.0
