county_fips,county_name,state,cbsa_code,cbsa_name,geography_weeks,event_weeks,event_week_share,total_game_count,mean_revenue_all,mean_revenue_all_event_weeks,mean_revenue_all_non_event_weeks,event_vs_non_event_revenue_diff,mean_merchants_all,mean_merchants_all_event_weeks,mean_merchants_all_non_event_weeks,event_vs_non_event_merchants_diff
06037,Los Angeles County,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",109,83,0.7614678899082569,405.0,-0.21251242201834863,-0.184298,-0.30258153846153846,0.11828353846153847,-0.0933274128440367,-0.06831443373493977,-0.17317653846153844,0.10486210472659867
17031,Cook County,IL,16980,"Chicago-Naperville-Elgin, IL-IN",109,86,0.7889908256880734,398.0,-0.1040669724770642,-0.04566627906976744,-0.3224347826086957,0.27676850353892823,-0.13611844036697246,-0.11787104651162789,-0.20434782608695645,0.08647677957532857
08031,Denver County,CO,19740,"Denver-Aurora-Centennial, CO",109,76,0.6972477064220184,293.0,-0.17139532110091743,-0.1384814473684211,-0.24719696969696972,0.10871552232854861,0.06315339449541282,0.10485289473684209,-0.032881818181818186,0.13773471291866027
04013,Maricopa County,AZ,38060,"Phoenix-Mesa-Chandler, AZ",109,81,0.7431192660550459,289.0,-0.04646643119266054,-0.02930643209876543,-0.09610785714285715,0.06680142504409171,0.022182201834862386,0.04467716049382716,-0.0428925,0.08756966049382717
42101,Philadelphia County,PA,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",109,78,0.7155963302752294,283.0,-0.08813715596330275,-0.016205897435897437,-0.26912548387096774,0.2529195864350703,-0.09971220183486239,-0.06131833333333334,-0.1963161290322581,0.13499779569892476
26163,Wayne County,MI,19820,"Detroit-Warren-Dearborn, MI",109,75,0.6880733944954128,281.0,0.42878954128440355,0.5235794666666667,0.21969411764705882,0.30388534901960784,0.02856587155963303,0.07846146666666667,-0.08149794117647058,0.15995940784313725
25025,Suffolk County,MA,14460,"Boston-Cambridge-Newton, MA-NH",109,73,0.6697247706422018,275.0,-0.39654100917431195,-0.3524105479452055,-0.4860277777777778,0.1336172298325723,-0.1426197247706422,-0.11411904109589042,-0.20041277777777777,0.08629373668188735
11001,District of Columbia,DC,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",109,73,0.6697247706422018,274.0,-0.5730380733944953,-0.5655089041095891,-0.5883055555555555,0.02279665144596643,-0.28716339449541284,-0.2710795890410959,-0.31977777777777777,0.04869818873668186
36061,New York County,NY,35620,"New York-Newark-Jersey City, NY-NJ",109,72,0.6605504587155964,269.0,-0.366460366972477,-0.27022472222222216,-0.5537297297297297,0.2835050075075075,-0.07552212293577983,-0.020293908333333333,-0.18299324324324323,0.1626993349099099
12095,Orange County,FL,36740,"Orlando-Kissimmee-Sanford, FL",109,52,0.47706422018348627,259.0,-0.10980055045871562,-0.06064903846153847,-0.15464052631578948,0.09399148785425102,0.04279825688073395,0.07285173076923078,0.015381052631578948,0.05747067813765183
48201,Harris County,TX,26420,"Houston-Pasadena-The Woodlands, TX",109,73,0.6697247706422018,219.0,-0.03613785321100917,-0.0016522739726027409,-0.10606694444444446,0.10441467047184172,0.010312077981651376,0.0336419301369863,-0.03699567777777778,0.07063760791476408
