cbsa_code,cbsa_name,week_start_monday,league,game_count,completed_game_count,future_or_uncompleted_game_count,playoff_game_count,championship_game_count,neutral_site_game_count,total_attendance,unique_venue_count,high_confidence_venue_game_count,low_confidence_venue_game_count,cbsa_county_count,cbsa_population_covered,merchants_all,revenue_all,has_womply
12060,"Atlanta-Sandy Springs-Roswell, GA",2020-01-06,ALL,2,2,0,0,0,0,31800.0,1,2,0,17,5566943,0.02407205453513715,0.00024105579022454493,True
12060,"Atlanta-Sandy Springs-Roswell, GA",2020-01-06,NBA,2,2,0,0,0,0,31800.0,1,2,0,17,5566943,0.02407205453513715,0.00024105579022454493,True
12580,"Baltimore-Columbia-Towson, MD",2020-01-06,ALL,1,1,0,1,0,0,0.0,1,1,0,6,2749672,0.021523729139330074,0.04926421225877122,True
12580,"Baltimore-Columbia-Towson, MD",2020-01-06,NFL,1,1,0,1,0,0,0.0,1,1,0,6,2749672,0.021523729139330074,0.04926421225877122,True
14460,"Boston-Cambridge-Newton, MA-NH",2020-01-06,ALL,3,3,0,0,0,0,38312.0,2,3,0,7,4873019,0.015619562579173196,-0.010678917603235282,True
14460,"Boston-Cambridge-Newton, MA-NH",2020-01-06,NBA,2,2,0,0,0,0,38312.0,1,2,0,7,4873019,0.015619562579173196,-0.010678917603235282,True
14460,"Boston-Cambridge-Newton, MA-NH",2020-01-06,NHL,1,1,0,0,0,0,0.0,1,1,0,7,4873019,0.015619562579173196,-0.010678917603235282,True
15380,"Buffalo-Cheektowaga, NY",2020-01-06,ALL,1,1,0,0,0,0,0.0,1,1,0,2,1127983,0.02223399607972815,-0.0339867224062774,True
15380,"Buffalo-Cheektowaga, NY",2020-01-06,NHL,1,1,0,0,0,0,0.0,1,1,0,2,1127983,0.02223399607972815,-0.0339867224062774,True
16740,"Charlotte-Concord-Gastonia, NC-SC",2020-01-06,ALL,2,2,0,0,0,0,26974.0,1,2,0,9,2580193,0.011252410901045,0.019714529727039798,True
