county_fips,county_name,state,cbsa_code,cbsa_name,week_start_monday,league,game_count,completed_game_count,future_or_uncompleted_game_count,playoff_game_count,championship_game_count,neutral_site_game_count,total_attendance,unique_venue_count,high_confidence_venue_game_count,low_confidence_venue_game_count,merchants_all,revenue_all,has_womply
04013,Maricopa County,AZ,38060,"Phoenix-Mesa-Chandler, AZ",2020-01-06,ALL,4,4,0,0,0,0,42877.0,2,4,0,-0.00288,0.00356,True
04013,Maricopa County,AZ,38060,"Phoenix-Mesa-Chandler, AZ",2020-01-06,NBA,3,3,0,0,0,0,42877.0,1,3,0,-0.00288,0.00356,True
04013,Maricopa County,AZ,38060,"Phoenix-Mesa-Chandler, AZ",2020-01-06,NHL,1,1,0,0,0,0,0.0,1,1,0,-0.00288,0.00356,True
06037,Los Angeles County,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",2020-01-06,ALL,5,5,0,0,0,0,57062.0,2,5,0,0.0131,-0.0108,True
06037,Los Angeles County,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",2020-01-06,NBA,3,3,0,0,0,0,57062.0,1,3,0,0.0131,-0.0108,True
06037,Los Angeles County,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",2020-01-06,NHL,2,2,0,0,0,0,0.0,1,2,0,0.0131,-0.0108,True
06059,Orange County,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",2020-01-06,ALL,3,3,0,0,0,0,0.0,1,3,0,0.00962,0.00152,True
06059,Orange County,CA,31080,"Los Angeles-Long Beach-Anaheim, CA",2020-01-06,NHL,3,3,0,0,0,0,0.0,1,3,0,0.00962,0.00152,True
06067,Sacramento County,CA,40900,"Sacramento-Roseville-Folsom, CA",2020-01-06,ALL,2,2,0,0,0,0,33402.0,1,2,0,0.000819,-0.0161,True
06067,Sacramento County,CA,40900,"Sacramento-Roseville-Folsom, CA",2020-01-06,NBA,2,2,0,0,0,0,33402.0,1,2,0,0.000819,-0.0161,True
06075,San Francisco County,CA,41860,"San Francisco-Oakland-Fremont, CA",2020-01-06,ALL,1,1,0,0,0,0,18064.0,1,1,0,0.00725,-0.0243,True
06075,San Francisco County,CA,41860,"San Francisco-Oakland-Fremont, CA",2020-01-06,NBA,1,1,0,0,0,0,18064.0,1,1,0,0.00725,-0.0243,True
06085,Santa Clara County,CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",2020-01-06,ALL,3,3,0,1,0,0,0.0,2,3,0,0.0106,-0.0397,True
06085,Santa Clara County,CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",2020-01-06,NFL,1,1,0,1,0,0,0.0,1,1,0,0.0106,-0.0397,True
06085,Santa Clara County,CA,41940,"San Jose-Sunnyvale-Santa Clara, CA",2020-01-06,NHL,2,2,0,0,0,0,0.0,1,2,0,0.0106,-0.0397,True
08031,Denver County,CO,19740,"Denver-Aurora-Centennial, CO",2020-01-06,ALL,2,2,0,0,0,0,19533.0,2,2,0,-0.0111,-0.0407,True
08031,Denver County,CO,19740,"Denver-Aurora-Centennial, CO",2020-01-06,NBA,1,1,0,0,0,0,19533.0,1,1,0,-0.0111,-0.0407,True
08031,Denver County,CO,19740,"Denver-Aurora-Centennial, CO",2020-01-06,NHL,1,1,0,0,0,0,0.0,1,1,0,-0.0111,-0.0407,True
11001,District of Columbia,DC,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-01-06,ALL,5,5,0,0,0,0,50276.0,2,5,0,-0.00952,0.0409,True
11001,District of Columbia,DC,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-01-06,NBA,3,3,0,0,0,0,50276.0,1,3,0,-0.00952,0.0409,True
11001,District of Columbia,DC,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020-01-06,NHL,2,2,0,0,0,0,0.0,1,2,0,-0.00952,0.0409,True
12011,Broward County,FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2020-01-06,ALL,2,2,0,0,0,0,0.0,1,2,0,0.0387,-0.0339,True
12011,Broward County,FL,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",2020-01-06,NHL,2,2,0,0,0,0,0.0,1,2,0,0.0387,-0.0339,True
12057,Hillsborough County,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",2020-01-06,ALL,2,2,0,0,0,0,0.0,1,2,0,0.00423,-0.0401,True
12057,Hillsborough County,FL,45300,"Tampa-St. Petersburg-Clearwater, FL",2020-01-06,NHL,2,2,0,0,0,0,0.0,1,2,0,0.00423,-0.0401,True
12095,Orange County,FL,36740,"Orlando-Kissimmee-Sanford, FL",2020-01-06,ALL,2,2,0,0,0,0,31021.0,1,2,0,0.0174,0.018,True
12095,Orange County,FL,36740,"Orlando-Kissimmee-Sanford, FL",2020-01-06,NBA,2,2,0,0,0,0,31021.0,1,2,0,0.0174,0.018,True
13121,Fulton County,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-01-06,ALL,2,2,0,0,0,0,31800.0,1,2,0,0.0348,-0.079,True
13121,Fulton County,GA,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-01-06,NBA,2,2,0,0,0,0,31800.0,1,2,0,0.0348,-0.079,True
17031,Cook County,IL,16980,"Chicago-Naperville-Elgin, IL-IN",2020-01-06,ALL,5,5,0,0,0,0,20229.0,2,5,0,0.0086,-0.0696,True
17031,Cook County,IL,16980,"Chicago-Naperville-Elgin, IL-IN",2020-01-06,NBA,1,1,0,0,0,0,20229.0,1,1,0,0.0086,-0.0696,True
17031,Cook County,IL,16980,"Chicago-Naperville-Elgin, IL-IN",2020-01-06,NHL,4,4,0,0,0,0,0.0,1,4,0,0.0086,-0.0696,True
18097,Marion County,IN,26900,"Indianapolis-Carmel-Greenwood, IN",2020-01-06,ALL,1,1,0,0,0,0,17040.0,1,1,0,0.00317,-0.000153,True
18097,Marion County,IN,26900,"Indianapolis-Carmel-Greenwood, IN",2020-01-06,NBA,1,1,0,0,0,0,17040.0,1,1,0,0.00317,-0.000153,True
22071,Orleans Parish,LA,35380,"New Orleans-Metairie, LA",2020-01-06,ALL,2,2,0,0,0,0,29462.0,1,2,0,0.0124,-0.0225,True
22071,Orleans Parish,LA,35380,"New Orleans-Metairie, LA",2020-01-06,NBA,2,2,0,0,0,0,29462.0,1,2,0,0.0124,-0.0225,True
24510,Baltimore city,MD,12580,"Baltimore-Columbia-Towson, MD",2020-01-06,ALL,1,1,0,1,0,0,0.0,1,1,0,0.0188,0.0735,True
24510,Baltimore city,MD,12580,"Baltimore-Columbia-Towson, MD",2020-01-06,NFL,1,1,0,1,0,0,0.0,1,1,0,0.0188,0.0735,True
25025,Suffolk County,MA,14460,"Boston-Cambridge-Newton, MA-NH",2020-01-06,ALL,3,3,0,0,0,0,38312.0,2,3,0,0.0309,0.0368,True
25025,Suffolk County,MA,14460,"Boston-Cambridge-Newton, MA-NH",2020-01-06,NBA,2,2,0,0,0,0,38312.0,1,2,0,0.0309,0.0368,True
25025,Suffolk County,MA,14460,"Boston-Cambridge-Newton, MA-NH",2020-01-06,NHL,1,1,0,0,0,0,0.0,1,1,0,0.0309,0.0368,True
26163,Wayne County,MI,19820,"Detroit-Warren-Dearborn, MI",2020-01-06,ALL,5,5,0,0,0,0,29396.0,2,5,0,0.0109,0.0124,True
26163,Wayne County,MI,19820,"Detroit-Warren-Dearborn, MI",2020-01-06,NBA,2,2,0,0,0,0,29396.0,1,2,0,0.0109,0.0124,True
26163,Wayne County,MI,19820,"Detroit-Warren-Dearborn, MI",2020-01-06,NHL,3,3,0,0,0,0,0.0,1,3,0,0.0109,0.0124,True
27053,Hennepin County,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2020-01-06,ALL,1,1,0,0,0,0,13720.0,1,1,0,-0.00873,-0.0384,True
27053,Hennepin County,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2020-01-06,NBA,1,1,0,0,0,0,13720.0,1,1,0,-0.00873,-0.0384,True
27123,Ramsey County,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2020-01-06,ALL,2,2,0,0,0,0,0.0,1,2,0,-0.0115,-0.0254,True
27123,Ramsey County,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",2020-01-06,NHL,2,2,0,0,0,0,0.0,1,2,0,-0.0115,-0.0254,True
29095,Jackson County,MO,28140,"Kansas City, MO-KS",2020-01-06,ALL,1,1,0,1,0,0,0.0,1,1,0,0.0235,0.0475,True
