county_fips,county_name,state,cbsa_code,cbsa_name,metropolitan_or_micropolitan,source,source_url,vintage
02020,Anchorage Municipality,AK,11260,"Anchorage, AK",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
02090,Fairbanks North Star Borough,AK,21820,"Fairbanks-College, AK",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
02110,Juneau City and Borough,AK,27940,"Juneau, AK",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
02130,Ketchikan Gateway Borough,AK,28540,"Ketchikan, AK",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
02170,Matanuska-Susitna Borough,AK,11260,"Anchorage, AK",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01001,Autauga County,AL,33860,"Montgomery, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01003,Baldwin County,AL,19300,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01005,Barbour County,AL,21640,"Eufaula, AL-GA",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01007,Bibb County,AL,13820,"Birmingham, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01009,Blount County,AL,13820,"Birmingham, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01015,Calhoun County,AL,11500,"Anniston-Oxford, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01017,Chambers County,AL,29300,"LaGrange, GA-AL",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01021,Chilton County,AL,13820,"Birmingham, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01031,Coffee County,AL,21460,"Enterprise, AL",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01033,Colbert County,AL,22520,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01037,Coosa County,AL,45180,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01043,Cullman County,AL,18980,"Cullman, AL",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01045,Dale County,AL,37120,"Ozark, AL",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01047,Dallas County,AL,42820,"Selma, AL",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01049,DeKalb County,AL,22840,"Fort Payne, AL",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01051,Elmore County,AL,33860,"Montgomery, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01055,Etowah County,AL,23460,"Gadsden, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01059,Franklin County,AL,40770,"Russellville, AL",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01061,Geneva County,AL,20020,"Dothan, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01063,Greene County,AL,46220,"Tuscaloosa, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01065,Hale County,AL,46220,"Tuscaloosa, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01067,Henry County,AL,20020,"Dothan, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01069,Houston County,AL,20020,"Dothan, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01071,Jackson County,AL,42460,"Scottsboro, AL",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01073,Jefferson County,AL,13820,"Birmingham, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01077,Lauderdale County,AL,22520,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01079,Lawrence County,AL,19460,"Decatur, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01081,Lee County,AL,12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01083,Limestone County,AL,26620,"Huntsville, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01085,Lowndes County,AL,33860,"Montgomery, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01087,Macon County,AL,12220,"Auburn-Opelika, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01089,Madison County,AL,26620,"Huntsville, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01095,Marshall County,AL,10700,"Albertville, AL",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01097,Mobile County,AL,33660,"Mobile, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01101,Montgomery County,AL,33860,"Montgomery, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01103,Morgan County,AL,19460,"Decatur, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01107,Pickens County,AL,46220,"Tuscaloosa, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01109,Pike County,AL,45980,"Troy, AL",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01113,Russell County,AL,17980,"Columbus, GA-AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01115,St. Clair County,AL,13820,"Birmingham, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01117,Shelby County,AL,13820,"Birmingham, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01121,Talladega County,AL,45180,"Talladega-Sylacauga, AL",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01123,Tallapoosa County,AL,10760,"Alexander City, AL",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01125,Tuscaloosa County,AL,46220,"Tuscaloosa, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
01127,Walker County,AL,13820,"Birmingham, AL",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05005,Baxter County,AR,34260,"Mountain Home, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05007,Benton County,AR,22220,"Fayetteville-Springdale-Rogers, AR",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05009,Boone County,AR,25460,"Harrison, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05013,Calhoun County,AR,15780,"Camden, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05019,Clark County,AR,11660,"Arkadelphia, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05025,Cleveland County,AR,38220,"Pine Bluff, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05027,Columbia County,AR,31620,"Magnolia, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05031,Craighead County,AR,27860,"Jonesboro, AR",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05033,Crawford County,AR,22900,"Fort Smith, AR-OK",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05035,Crittenden County,AR,32820,"Memphis, TN-MS-AR",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05045,Faulkner County,AR,30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05051,Garland County,AR,26300,"Hot Springs, AR",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05053,Grant County,AR,30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05055,Greene County,AR,37500,"Paragould, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05059,Hot Spring County,AR,31680,"Malvern, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05063,Independence County,AR,12900,"Batesville, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05069,Jefferson County,AR,38220,"Pine Bluff, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05081,Little River County,AR,45500,"Texarkana, TX-AR",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05085,Lonoke County,AR,30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05087,Madison County,AR,22220,"Fayetteville-Springdale-Rogers, AR",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05091,Miller County,AR,45500,"Texarkana, TX-AR",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05093,Mississippi County,AR,14180,"Blytheville, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05101,Newton County,AR,25460,"Harrison, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05103,Ouachita County,AR,15780,"Camden, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05105,Perry County,AR,30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05111,Poinsett County,AR,27860,"Jonesboro, AR",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05115,Pope County,AR,40780,"Russellville, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05119,Pulaski County,AR,30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05123,St. Francis County,AR,22620,"Forrest City, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05125,Saline County,AR,30780,"Little Rock-North Little Rock-Conway, AR",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05131,Sebastian County,AR,22900,"Fort Smith, AR-OK",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05139,Union County,AR,20980,"El Dorado, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05143,Washington County,AR,22220,"Fayetteville-Springdale-Rogers, AR",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05145,White County,AR,42620,"Searcy, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
05149,Yell County,AR,40780,"Russellville, AR",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
04003,Cochise County,AZ,43420,"Sierra Vista-Douglas, AZ",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
04005,Coconino County,AZ,22380,"Flagstaff, AZ",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
04007,Gila County,AZ,37740,"Payson, AZ",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
04009,Graham County,AZ,40940,"Safford, AZ",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
04013,Maricopa County,AZ,38060,"Phoenix-Mesa-Chandler, AZ",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
04015,Mohave County,AZ,29420,"Lake Havasu City-Kingman, AZ",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
04017,Navajo County,AZ,43320,"Show Low, AZ",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
04019,Pima County,AZ,46060,"Tucson, AZ",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
04021,Pinal County,AZ,38060,"Phoenix-Mesa-Chandler, AZ",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
04023,Santa Cruz County,AZ,35700,"Nogales, AZ",Micropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
04025,Yavapai County,AZ,39150,"Prescott Valley-Prescott, AZ",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
04027,Yuma County,AZ,49740,"Yuma, AZ",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
06001,Alameda County,CA,41860,"San Francisco-Oakland-Fremont, CA",Metropolitan Statistical Area,U.S. Census Bureau / OMB July 2023 CBSA delineation file,https://www2.census.gov/programs-surveys/metro-micro/geographies/reference-files/2023/delineation-files/list1_2023.xlsx,2023-07
