year,month,day_endofweek,merchants_all,revenue_all,merchants_professional,revenue_professional,merchants_health,revenue_health,merchants_food_accommodation,revenue_food_accommodation,merchants_other_services,revenue_other_services,merchants_retail,revenue_retail,revenue_inclow,merchants_inclow,revenue_incmiddle,merchants_incmiddle,revenue_inchigh,merchants_inchigh,week_end_sunday,week_start_monday
2020,1,12,0.00934,-0.00523,0.00408,-0.0111,0.00811,-0.00508,0.00998,-0.0121,0.00902,0.00985,0.0112,-0.0119,-0.00531,0.0105,0.00729,0.0118,0.00488,0.0106,2020-01-12,2020-01-06
2020,1,19,-0.00367,0.000584,-0.00433,-0.000985,-0.00287,-0.0167,-0.0022,0.0132,-0.0038,3.77e-05,-0.00553,-0.0139,0.0159,-0.00226,-0.0106,-0.00332,-0.000157,-0.00172,2020-01-19,2020-01-13
2020,1,26,-0.0033,0.0139,5.15e-05,0.0179,-0.00288,0.023,-0.00435,0.00205,-0.00341,0.00194,-0.00323,0.0196,0.0268,-0.00127,0.0182,-0.00265,0.0113,-0.00213,2020-01-26,2020-01-20
2020,2,2,-0.00259,-0.00157,0.000253,0.00267,-0.00262,0.00464,-0.00369,-0.000986,-0.00234,-0.00739,-0.00305,0.00948,0.00237,-0.000103,0.000269,-0.000814,-0.000271,-0.00271,2020-02-02,2020-01-27
2020,2,9,-0.00444,-0.00218,-0.00393,0.0109,-0.00329,0.00727,-0.00351,-0.00631,-0.00557,-0.0102,-0.00485,-0.00721,4.74e-05,-0.00257,0.0081,-0.00216,0.00146,-0.00289,2020-02-09,2020-02-03
2020,2,16,-0.00514,-0.00929,-0.00506,0.006,-0.00357,-0.011,-0.00364,-0.0242,-0.00664,-0.0079,-0.0048,-0.000171,0.00353,-0.0021,0.00369,-0.00326,-0.0102,-0.00313,2020-02-16,2020-02-10
2020,2,23,-0.00403,-0.0096,-0.00657,-0.00561,-0.00538,0.000535,-0.00546,-0.0127,-0.00283,0.00481,-0.00362,-0.016,-0.0113,-0.00197,-0.00629,-0.00191,0.00231,-0.00219,2020-02-23,2020-02-17
2020,3,1,-0.0115,-0.0457,-0.0146,-0.059,-0.0139,-0.055,-0.00965,-0.0422,-0.0124,-0.0453,-0.00956,0.000797,-0.0278,-0.00653,-0.0199,-0.00956,-0.0575,-0.0129,2020-03-01,2020-02-24
2020,3,8,-0.0209,-0.0145,-0.0154,-4.68e-05,-0.0226,-0.00818,-0.0244,-0.053,-0.0223,-0.0124,-0.0181,0.0078,-0.0109,-0.0139,-0.00621,-0.019,-0.0149,-0.0224,2020-03-08,2020-03-02
2020,3,15,-0.0282,-0.129,-0.0253,-0.0465,-0.0252,-0.0804,-0.0291,-0.256,-0.0309,-0.167,-0.0258,-0.0375,-0.11,-0.02,-0.103,-0.0249,-0.15,-0.0303,2020-03-15,2020-03-09
2020,3,22,-0.0842,-0.319,-0.0567,-0.145,-0.0738,-0.299,-0.1,-0.617,-0.0946,-0.391,-0.0674,-0.124,-0.247,-0.0601,-0.301,-0.0727,-0.354,-0.0987,2020-03-22,2020-03-16
2020,3,29,-0.25,-0.491,-0.121,-0.27,-0.186,-0.526,-0.309,-0.7,-0.342,-0.57,-0.207,-0.382,-0.421,-0.201,-0.46,-0.23,-0.523,-0.265,2020-03-29,2020-03-23
2020,4,5,-0.281,-0.476,-0.116,-0.259,-0.2,-0.53,-0.34,-0.687,-0.405,-0.583,-0.24,-0.359,-0.407,-0.236,-0.453,-0.264,-0.496,-0.29,2020-04-05,2020-03-30
2020,4,12,-0.302,-0.496,-0.127,-0.293,-0.224,-0.568,-0.355,-0.688,-0.435,-0.617,-0.255,-0.369,-0.418,-0.254,-0.466,-0.281,-0.51,-0.306,2020-04-12,2020-04-06
2020,4,19,-0.287,-0.411,-0.089,-0.106,-0.213,-0.503,-0.346,-0.632,-0.425,-0.569,-0.239,-0.283,-0.307,-0.233,-0.355,-0.265,-0.454,-0.292,2020-04-19,2020-04-13
2020,4,26,-0.275,-0.406,-0.1,-0.156,-0.207,-0.51,-0.329,-0.618,-0.408,-0.548,-0.221,-0.24,-0.312,-0.226,-0.377,-0.257,-0.442,-0.289,2020-04-26,2020-04-20
2020,5,3,-0.246,-0.368,-0.0836,-0.156,-0.191,-0.493,-0.295,-0.586,-0.376,-0.506,-0.184,-0.165,-0.266,-0.197,-0.325,-0.228,-0.415,-0.269,2020-05-03,2020-04-27
2020,5,10,-0.214,-0.288,-0.0784,-0.105,-0.164,-0.401,-0.266,-0.545,-0.33,-0.452,-0.147,-0.0591,-0.212,-0.163,-0.236,-0.196,-0.347,-0.24,2020-05-10,2020-05-04
2020,5,17,-0.188,-0.259,-0.0666,-0.0888,-0.146,-0.338,-0.239,-0.527,-0.282,-0.399,-0.125,-0.0274,-0.155,-0.139,-0.207,-0.168,-0.333,-0.222,2020-05-17,2020-05-11
2020,5,24,-0.162,-0.213,-0.0569,-0.0541,-0.123,-0.267,-0.205,-0.471,-0.246,-0.342,-0.102,0.0227,-0.113,-0.114,-0.153,-0.141,-0.293,-0.199,2020-05-24,2020-05-18
2020,5,31,-0.129,-0.123,-0.0357,0.0386,-0.0935,-0.102,-0.173,-0.417,-0.201,-0.264,-0.0657,0.173,0.0268,-0.0595,-0.0474,-0.0902,-0.205,-0.149,2020-05-31,2020-05-25
2020,6,7,-0.108,-0.136,-0.0632,-0.0794,-0.0819,-0.182,-0.137,-0.389,-0.165,-0.258,-0.0384,0.21,-0.0238,-0.0547,-0.068,-0.083,-0.232,-0.16,2020-06-07,2020-06-01
2020,6,14,-0.0952,-0.164,-0.0541,-0.101,-0.0757,-0.188,-0.117,-0.386,-0.149,-0.262,-0.0268,0.177,-0.0461,-0.042,-0.0911,-0.0732,-0.248,-0.145,2020-06-14,2020-06-08
2020,6,21,-0.0792,-0.0914,-0.0468,-0.0559,-0.0635,-0.111,-0.103,-0.322,-0.122,-0.203,-0.0129,0.315,0.0186,-0.0324,-0.0253,-0.058,-0.173,-0.127,2020-06-21,2020-06-15
2020,6,28,-0.0714,-0.134,-0.0482,-0.112,-0.0612,-0.134,-0.0939,-0.334,-0.107,-0.231,-0.00463,0.228,-0.0205,-0.0265,-0.062,-0.0525,-0.215,-0.115,2020-06-28,2020-06-22
2020,7,5,-0.049,-0.0368,0.000272,0.0768,-0.0351,0.0579,-0.086,-0.339,-0.0839,-0.143,0.0139,0.296,0.0933,0.0175,0.0251,-0.0076,-0.105,-0.059,2020-07-05,2020-06-29
2020,7,12,-0.0691,-0.133,-0.0601,-0.158,-0.0698,-0.216,-0.0914,-0.358,-0.0927,-0.239,-0.00148,0.242,-0.00502,-0.0253,-0.0896,-0.0514,-0.212,-0.107,2020-07-12,2020-07-06
2020,7,19,-0.067,-0.134,-0.0569,-0.14,-0.0655,-0.199,-0.092,-0.37,-0.0924,-0.238,0.00101,0.237,-0.00116,-0.0241,-0.0873,-0.0498,-0.211,-0.108,2020-07-19,2020-07-13
