cbsa_code,cbsa_name,week_start_monday,league,game_count,completed_game_count,future_or_uncompleted_game_count,playoff_game_count,championship_game_count,neutral_site_game_count,total_attendance,unique_venue_count,high_confidence_venue_game_count,low_confidence_venue_game_count
12060,"Atlanta-Sandy Springs-Roswell, GA",2018-12-31,ALL,1,1,0,0,0,0,16630.0,1,1,0
12060,"Atlanta-Sandy Springs-Roswell, GA",2018-12-31,NBA,1,1,0,0,0,0,16630.0,1,1,0
14460,"Boston-Cambridge-Newton, MA-NH",2018-12-31,ALL,4,4,0,0,0,0,37248.0,2,4,0
14460,"Boston-Cambridge-Newton, MA-NH",2018-12-31,NBA,2,2,0,0,0,0,37248.0,1,2,0
14460,"Boston-Cambridge-Newton, MA-NH",2018-12-31,NHL,2,2,0,0,0,0,0.0,1,2,0
15380,"Buffalo-Cheektowaga, NY",2018-12-31,ALL,1,1,0,0,0,0,0.0,1,1,0
15380,"Buffalo-Cheektowaga, NY",2018-12-31,NHL,1,1,0,0,0,0,0.0,1,1,0
16740,"Charlotte-Concord-Gastonia, NC-SC",2018-12-31,ALL,1,1,0,0,0,0,16955.0,1,1,0
16740,"Charlotte-Concord-Gastonia, NC-SC",2018-12-31,NBA,1,1,0,0,0,0,16955.0,1,1,0
16980,"Chicago-Naperville-Elgin, IL-IN",2018-12-31,ALL,3,3,0,0,0,0,59562.0,1,3,0
16980,"Chicago-Naperville-Elgin, IL-IN",2018-12-31,NBA,3,3,0,0,0,0,59562.0,1,3,0
17410,"Cleveland, OH",2018-12-31,ALL,3,3,0,0,0,0,58296.0,1,3,0
17410,"Cleveland, OH",2018-12-31,NBA,3,3,0,0,0,0,58296.0,1,3,0
19100,"Dallas-Fort Worth-Arlington, TX",2018-12-31,ALL,2,2,0,0,0,0,0.0,1,2,0
19100,"Dallas-Fort Worth-Arlington, TX",2018-12-31,NHL,2,2,0,0,0,0,0.0,1,2,0
19740,"Denver-Aurora-Centennial, CO",2018-12-31,ALL,4,4,0,0,0,0,39381.0,2,4,0
19740,"Denver-Aurora-Centennial, CO",2018-12-31,NBA,2,2,0,0,0,0,39381.0,1,2,0
19740,"Denver-Aurora-Centennial, CO",2018-12-31,NHL,2,2,0,0,0,0,0.0,1,2,0
