cbsa_code,cbsa_name,week_start_monday,cbsa_county_count,cbsa_population_covered,merchants_all,revenue_all,game_count,completed_game_count,future_or_uncompleted_game_count,playoff_game_count,championship_game_count,neutral_site_game_count,total_attendance,unique_venue_count,high_confidence_venue_game_count,low_confidence_venue_game_count,has_event,mlb_game_count,nba_game_count,nfl_game_count,nhl_game_count,year,month,week_of_year,quarter,event_intensity,completed_event,playoff_event,championship_event,neutral_site_event,high_confidence_share,low_confidence_share,high_attendance_event,high_attendance_threshold,revenue_all_lag1,revenue_all_lag2,revenue_all_diff1,revenue_all_rolling4_mean,revenue_all_vs_rolling4,merchants_all_lag1,merchants_all_lag2,merchants_all_diff1,merchants_all_rolling4_mean,merchants_all_vs_rolling4
12060,"Atlanta-Sandy Springs-Roswell, GA",2020-01-06,17,5566943,0.02407205453513715,0.00024105579022454493,2.0,2.0,0.0,0.0,0.0,0.0,31800.0,1.0,2.0,0.0,True,0,2,0,0,2020,1,2,1,2.0,True,False,False,False,1.0,0.0,False,62120.5,,,,,,,,,,
12420,"Austin-Round Rock-San Marcos, TX",2020-01-06,4,2183419,0.011090264058341529,-0.02119127338362449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,2020,1,2,1,0.0,False,False,False,False,0.0,0.0,False,62120.5,,,,,,,,,,
12540,"Bakersfield-Delano, CA",2020-01-06,1,900202,0.0111,0.000195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,2020,1,2,1,0.0,False,False,False,False,0.0,0.0,False,62120.5,,,,,,,,,,
12580,"Baltimore-Columbia-Towson, MD",2020-01-06,6,2749672,0.021523729139330074,0.04926421225877122,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,True,0,0,1,0,2020,1,2,1,1.0,True,True,False,False,1.0,0.0,False,62120.5,,,,,,,,,,
13820,"Birmingham, AL",2020-01-06,3,965787,0.008064742567460528,-0.019294271304128134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,2020,1,2,1,0.0,False,False,False,False,0.0,0.0,False,62120.5,,,,,,,,,,
14260,"Boise City, ID",2020-01-06,2,711436,0.038606169774934085,0.02596035923821679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,2020,1,2,1,0.0,False,False,False,False,0.0,0.0,False,62120.5,,,,,,,,,,
14460,"Boston-Cambridge-Newton, MA-NH",2020-01-06,7,4873019,0.015619562579173196,-0.010678917603235282,3.0,3.0,0.0,0.0,0.0,0.0,38312.0,2.0,3.0,0.0,True,0,2,0,1,2020,1,2,1,3.0,True,False,False,False,1.0,0.0,False,62120.5,,,,,,,,,,
15380,"Buffalo-Cheektowaga, NY",2020-01-06,2,1127983,0.02223399607972815,-0.0339867224062774,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,0,0,0,1,2020,1,2,1,1.0,True,False,False,False,1.0,0.0,False,62120.5,,,,,,,,,,
16700,"Charleston-North Charleston, SC",2020-01-06,3,802122,0.0015288951555997715,-0.03227827489085202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0,0,0,0,2020,1,2,1,0.0,False,False,False,False,0.0,0.0,False,62120.5,,,,,,,,,,
16740,"Charlotte-Concord-Gastonia, NC-SC",2020-01-06,9,2580193,0.011252410901045,0.019714529727039798,2.0,2.0,0.0,0.0,0.0,0.0,26974.0,1.0,2.0,0.0,True,0,2,0,0,2020,1,2,1,2.0,True,False,False,False,1.0,0.0,False,62120.5,,,,,,,,,,
