geography_level,geography_id,geography_label,event_week,window_size_weeks,game_count,playoff_game_count,pre_window_start,pre_window_end,post_window_start,post_window_end,has_overlapping_pre_event,has_overlapping_post_event,revenue_all_pre_mean,revenue_all_post_mean,revenue_all_delta,merchants_all_pre_mean,merchants_all_post_mean,merchants_all_delta,revenue_all_vs_rolling4_pre_mean,revenue_all_vs_rolling4_post_mean,revenue_all_vs_rolling4_delta,merchants_all_vs_rolling4_pre_mean,merchants_all_vs_rolling4_post_mean,merchants_all_vs_rolling4_delta
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-01-06,1,2.0,0.0,2019-12-30,2019-12-30,2020-01-06,2020-01-06,False,False,,0.0002410557902245,,,0.0240720545351371,,,,,,,
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-01-06,2,2.0,0.0,2019-12-23,2019-12-30,2020-01-06,2020-01-13,False,True,,-0.00734049704353,,,0.0057900149300972,,,,,,,
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-01-06,4,2.0,0.0,2019-12-09,2019-12-30,2020-01-06,2020-01-27,False,True,,0.0011183728956358748,,,-0.00035783951299659983,,,0.015173964753456198,,,-0.010229585829391999,
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-01-13,1,2.0,0.0,2020-01-06,2020-01-06,2020-01-13,2020-01-13,True,False,0.0002410557902245,-0.0149220498772845,-0.015163105667508999,0.0240720545351371,-0.0124920246749427,-0.0365640792100798,,,,,,
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-01-13,2,2.0,0.0,2019-12-30,2020-01-06,2020-01-13,2020-01-20,True,True,0.0002410557902245,-0.00589994808578065,-0.00614100387600515,0.0240720545351371,-0.00954937404280945,-0.03362142857794655,,0.0104626507492532,,,-0.0123967383407733,
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-01-13,4,2.0,0.0,2019-12-16,2020-01-06,2020-01-13,2020-02-03,True,True,0.0002410557902245,-0.006700550180547925,-0.006941605970772425,0.0240720545351371,-0.0059229661305136,-0.0299950206656507,,-0.0006016933010780674,,,-0.006096594693572766,
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-01-20,1,3.0,0.0,2020-01-13,2020-01-13,2020-01-20,2020-01-20,True,False,-0.0149220498772845,0.0031221537057232,0.0180442035830077,-0.0124920246749427,-0.0066067234106762,0.0058853012642665,,0.0104626507492532,,,-0.0123967383407733,
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-01-20,2,3.0,0.0,2020-01-06,2020-01-13,2020-01-20,2020-01-27,True,True,-0.00734049704353,0.00957724283480175,0.01691773987833175,0.0057900149300972,-0.0065056939560903995,-0.0122957088861876,,0.015173964753456198,,,-0.010229585829391999,
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-01-20,4,3.0,0.0,2019-12-23,2020-01-13,2020-01-20,2020-02-10,True,True,-0.00734049704353,-0.006021461943520875,0.0013190351000091256,0.0057900149300972,-0.005143984769800925,-0.010933999699898125,,-0.0018275566629656506,,,-0.00543572929557415,
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-01-27,1,1.0,0.0,2020-01-20,2020-01-20,2020-01-27,2020-01-27,True,False,0.0031221537057232,0.0160323319638803,0.0129101782581571,-0.0066067234106762,-0.0064046645015046,0.00020205890917159974,0.0104626507492532,0.0198852787576592,0.009422628008405999,-0.0123967383407733,-0.0080624333180107,0.004334305022762599
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-01-27,2,1.0,0.0,2020-01-13,2020-01-20,2020-01-27,2020-02-03,True,True,-0.00589994808578065,-0.0075011522753152,-0.0016012041895345497,-0.00954937404280945,-0.00229655821821775,0.0072528158245917,0.0104626507492532,-0.006133865326243701,-0.0165965160754969,-0.0123967383407733,-0.0029465228699725003,0.009450215470800799
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-01-27,4,1.0,0.0,2019-12-30,2020-01-20,2020-01-27,2020-02-17,True,True,-0.003852946793778933,-0.0137772963955262,-0.009924349601747267,0.001657768816506067,-0.003831027472133225,-0.005488796288639292,0.0104626507492532,-0.009913149889973251,-0.02037580063922645,-0.0123967383407733,-0.0013892720729319751,0.011007466267841324
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-02-03,1,2.0,0.0,2020-01-27,2020-01-27,2020-02-03,2020-02-03,True,False,0.0160323319638803,-0.0310346365145107,-0.047066968478390994,-0.0064046645015046,0.0018115480650691,0.0082162125665737,0.0198852787576592,-0.0321530094101466,-0.0520382881678058,-0.0080624333180107,0.0021693875780657,0.0102318208960764
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-02-03,2,2.0,0.0,2020-01-20,2020-01-27,2020-02-03,2020-02-10,True,False,0.00957724283480175,-0.021620166721843498,-0.031197409556645246,-0.0065056939560903995,-0.0037822755835114504,0.002723418372578949,0.015173964753456198,-0.0188290780793875,-0.034003042832843694,-0.010229585829391999,-0.0006418727617563001,0.009587713067635699
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-02-03,4,2.0,0.0,2020-01-06,2020-01-27,2020-02-03,2020-02-24,True,True,0.0011183728956358748,-0.021944903505029548,-0.02306327640066542,-0.00035783951299659983,-0.002050778066669625,-0.0016929385536730253,0.015173964753456198,-0.01559966959903975,-0.03077363435249595,-0.010229585829391999,0.001763176404691475,0.011992762234083474
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-02-17,1,2.0,0.0,2020-02-10,2020-02-10,2020-02-17,2020-02-17,False,False,-0.0122056969291763,-0.0279011841022981,-0.0156954871731218,-0.009376099232092,-0.0013548942200054,0.0080212050120866,-0.0055051467486284,-0.0218797221587772,-0.0163745754101488,-0.0034531331015783,0.0037890905497954,0.0072422236513737005
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-02-17,2,2.0,0.0,2020-02-03,2020-02-10,2020-02-17,2020-02-24,True,True,-0.021620166721843498,-0.022269640288215597,-0.0006494735663720996,-0.0037822755835114504,-0.00031928054982779995,0.0034629950336836504,-0.0188290780793875,-0.012370261118692001,0.006458816960695498,-0.0006418727617563001,0.00416822557113925,0.00481009833289555
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-02-17,4,2.0,0.0,2020-01-20,2020-02-10,2020-02-17,2020-03-09,True,True,-0.006021461943520875,-0.0398315097540966,-0.03381004781057573,-0.005143984769800925,-0.00600932732874215,-0.0008653425589412247,-0.0018275566629656506,-0.024324355253087224,-0.02249679859012157,-0.00543572929557415,-0.002136468819334525,0.0032992604762396246
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-02-24,1,2.0,0.0,2020-02-17,2020-02-17,2020-02-24,2020-02-24,True,False,-0.0279011841022981,-0.0166380964741331,0.011263087628165,-0.0013548942200054,0.0007163331203498,0.0020712273403552,-0.0218797221587772,-0.0028608000786068,0.0190189220801704,0.0037890905497954,0.0045473605924831,0.0007582700426877003
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-02-24,2,2.0,0.0,2020-02-10,2020-02-17,2020-02-24,2020-03-02,True,True,-0.0200534405157372,-0.020516471804184047,-0.00046303128844684543,-0.0053654967260487,-0.0035657907320049997,0.0017997059940437006,-0.013692434453702801,-0.0026553718539061,0.0110370625997967,0.00016797872410854986,-0.00062488796260355,-0.0007928666867120999
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-02-24,4,2.0,0.0,2020-01-27,2020-02-17,2020-02-24,2020-03-16,True,True,-0.0137772963955262,-0.10162769839254684,-0.08785040199702064,-0.003831027472133225,-0.020939199001857898,-0.017108171529724672,-0.009913149889973251,-0.07766803193889353,-0.06775488204892027,-0.0013892720729319751,-0.016850004852714925,-0.01546073277978295
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-03-02,1,1.0,0.0,2020-02-24,2020-02-24,2020-03-02,2020-03-02,True,False,-0.0166380964741331,-0.024394847134235,-0.0077567506601019,0.0007163331203498,-0.0078479145843598,-0.0085642477047096,-0.0028608000786068,-0.0024499436292054,0.0004108564494014,0.0045473605924831,-0.0057971365176902,-0.0103444971101733
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-03-02,2,1.0,0.0,2020-02-17,2020-02-24,2020-03-02,2020-03-09,True,True,-0.022269640288215597,-0.0573933792199776,-0.035123738931762,-0.00031928054982779995,-0.0116993741076565,-0.0113800935578287,-0.012370261118692001,-0.03627844938748245,-0.023908188268790452,0.00416822557113925,-0.0084411632098083,-0.01260938878094755
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-03-02,4,1.0,0.0,2020-02-03,2020-02-24,2020-03-02,2020-03-23,True,True,-0.021944903505029548,-0.2082412385482481,-0.18629633504321857,-0.002050778066669625,-0.07157552569183835,-0.06952474762516872,-0.01559966959903975,-0.16231897159533965,-0.1467193019962999,0.001763176404691475,-0.06320928866026422,-0.0649724650649557
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-03-09,1,2.0,0.0,2020-03-02,2020-03-02,2020-03-09,2020-03-09,True,False,-0.024394847134235,-0.0903919113057202,-0.06599706417148521,-0.0078479145843598,-0.0155508336309532,-0.0077029190465934,-0.0024499436292054,-0.0701069551457595,-0.0676570115165541,-0.0057971365176902,-0.0110851899019264,-0.0052880533842362
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-03-09,2,2.0,0.0,2020-02-24,2020-03-02,2020-03-09,2020-03-16,True,False,-0.020516471804184047,-0.18273892498090966,-0.16222245317672562,-0.0035657907320049997,-0.0383126072717108,-0.0347468165397058,-0.0026553718539061,-0.15268069202388096,-0.15002532016997486,-0.00062488796260355,-0.0330751217428263,-0.03245023378022275
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-03-09,4,2.0,0.0,2020-02-10,2020-03-02,2020-03-09,2020-03-30,True,False,-0.020284956159960624,-0.2990531661407347,-0.27876820998077406,-0.00446564372902685,-0.1307624195059119,-0.12629677577688503,-0.00817390315380445,-0.2065568154270216,-0.19838291227321714,-0.00022845461924750007,-0.10501499556804558,-0.10478654094879808
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-07-27,1,5.0,0.0,2020-07-20,2020-07-20,2020-07-27,2020-07-27,False,False,-0.0787349262961736,-0.1017421393932001,-0.02300721309702651,0.0106373383027273,0.0171153576334444,0.006478019330717099,-0.0750076838958113,-0.0860379663192168,-0.011030282423405494,-0.0032151355773716,0.0023181548669979,0.005533290444369499
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-07-27,2,5.0,0.0,2020-07-13,2020-07-20,2020-07-27,2020-08-03,False,True,-0.05551930135264535,-0.0725677091179126,-0.017048407765267254,0.0077580296747244495,0.017865750188209198,0.010107720513484748,-0.06277056769262765,-0.03402529556122635,0.028745272131401302,-0.0057759384949692995,0.00584373435981825,0.011619672854787549
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-07-27,4,5.0,0.0,2020-06-29,2020-07-20,2020-07-27,2020-08-17,False,True,-0.0157041730739833,-0.054719654822583924,-0.039015481748600624,0.01479720276644645,0.020114153433042126,0.005316950666595675,-0.020860518412529075,-0.0028465039144015235,0.01801401449812755,0.005121614246162576,0.00660821635972375,0.0014866021135611744
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-08-03,1,4.0,0.0,2020-07-27,2020-07-27,2020-08-03,2020-08-03,True,False,-0.1017421393932001,-0.0433932788426251,0.058348860550575005,0.0171153576334444,0.018616142742974,0.0015007851095296017,-0.0860379663192168,0.0179873751967641,0.1040253415159809,0.0023181548669979,0.0093693138526386,0.007051158985640699
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-08-03,2,4.0,0.0,2020-07-20,2020-07-27,2020-08-03,2020-08-10,True,False,-0.09023853284468686,-0.042490009723469405,0.047748523121217454,0.013876347968085848,0.020459305441963352,0.006582957473877504,-0.08052282510751405,0.0202220699138647,0.10074489502137875,-0.00044849035518684994,0.0094299460310622,0.00987843638624905
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-08-03,4,4.0,0.0,2020-07-06,2020-07-27,2020-08-03,2020-08-24,True,True,-0.06138065403938923,-0.05359062952898923,0.0077900245104,0.009246828890335275,0.0212404917267879,0.011993662836452626,-0.06452515732624706,0.008036391816343351,0.07256154914259041,-0.004477083180874575,0.0064053169868205995,0.010882400167695174
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-08-17,1,5.0,0.0,2020-08-10,2020-08-10,2020-08-17,2020-08-17,False,False,-0.0415867406043137,-0.0321564604501968,0.009430280154116899,0.0223024681409527,0.0224226452147974,0.00012017707384470028,0.0224567646309653,0.0342078108338813,0.011751046202916001,0.0094905782094858,0.0052548185097727,-0.0042357596997130995
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-08-17,2,5.0,0.0,2020-08-03,2020-08-10,2020-08-17,2020-08-24,True,True,-0.042490009723469405,-0.06469124933450905,-0.022201239611039647,0.020459305441963352,0.02202167801161245,0.001562372569649098,0.0202220699138647,-0.004149286281178,-0.0243713561950427,0.0094299460310622,0.0033806879425790004,-0.006049258088483199
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-08-17,4,5.0,0.0,2020-07-20,2020-08-10,2020-08-17,2020-09-07,True,True,-0.06636427128407812,-0.04744183509549135,0.018922436188586772,0.0171678267050246,0.028198100111227975,0.011030273406203377,-0.030150377596824676,0.004633254385440978,0.03478363198226565,0.004490727837937675,0.006574339322845101,0.002083611484907426
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-08-24,1,2.0,0.0,2020-08-17,2020-08-17,2020-08-24,2020-08-24,True,False,-0.0321564604501968,-0.0972260382188213,-0.06506957776862449,0.0224226452147974,0.0216207108084275,-0.0008019344063699002,0.0342078108338813,-0.0425063833962373,-0.0767141942301186,0.0052548185097727,0.0015065573753853,-0.0037482611343874
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-08-24,2,2.0,0.0,2020-08-10,2020-08-17,2020-08-24,2020-08-31,True,True,-0.03687160052725525,-0.0303800040489008,0.006491596478354452,0.02236255667787505,0.03358258589947835,0.011220029221603301,0.0283322877324233,0.0237751381268858,-0.0045571496055374985,0.0073726983596292504,0.012905263319563301,0.005532564959934051
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-08-24,4,2.0,0.0,2020-07-27,2020-08-17,2020-08-24,2020-09-14,True,True,-0.054719654822583924,-0.039709267576028676,0.015010387246555248,0.020114153433042126,0.0316998364537772,0.011585683020735073,-0.0028465039144015235,0.007635212857756927,0.01048171677215845,0.00660821635972375,0.007318507313843475,0.0007102909541197248
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-08-31,1,4.0,0.0,2020-08-24,2020-08-24,2020-08-31,2020-08-31,True,False,-0.0972260382188213,0.0364660301210197,0.13369206833984099,0.0216207108084275,0.0455444609905292,0.023923750182101702,-0.0425063833962373,0.0900566596500089,0.13256304304624622,0.0015065573753853,0.0243039692637413,0.022797411888356
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-08-31,2,4.0,0.0,2020-08-17,2020-08-24,2020-08-31,2020-09-07,True,True,-0.06469124933450905,-0.03019242085647365,0.0344988284780354,0.02202167801161245,0.0343745222108435,0.01235284419923105,-0.004149286281178,0.013415795052059955,0.017565081333237954,0.0033806879425790004,0.0097679907031112,0.0063873027605322
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-08-31,4,4.0,0.0,2020-08-03,2020-08-24,2020-08-31,2020-09-21,True,True,-0.05359062952898923,-0.01782617490155725,0.03576445462743198,0.0212404917267879,0.03544858328394953,0.014208091557161628,0.008036391816343351,0.025765708720589503,0.017729316904246152,0.0064053169868205995,0.008170833388832024,0.001765516402011425
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-09-07,1,4.0,0.0,2020-08-31,2020-08-31,2020-09-07,2020-09-07,True,False,0.0364660301210197,-0.096850871833967,-0.1333169019549867,0.0455444609905292,0.0232045834311578,-0.0223398775593714,0.0900566596500089,-0.063225069545889,-0.1532817291958979,0.0243039692637413,-0.0047679878575189,-0.029071957121260202
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-09-07,2,4.0,0.0,2020-08-24,2020-08-31,2020-09-07,2020-09-14,True,False,-0.0303800040489008,-0.04903853110315655,-0.01865852705425575,0.03358258589947835,0.029817087008076053,-0.0037654988914022983,0.0237751381268858,-0.008504712411371948,-0.03227985053825775,0.012905263319563301,0.0017317513081236495,-0.011173512011439651
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-09-07,4,4.0,0.0,2020-08-10,2020-08-31,2020-09-07,2020-09-28,True,True,-0.03362580228807802,-0.03602546334945405,-0.0023996610613760266,0.027972571288676702,0.03369870952468883,0.005726138236012125,0.02605371292965455,-0.001374693384165274,-0.027428406313819827,0.010138980839596275,0.002868936740280925,-0.00727004409931535
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-09-21,1,8.0,0.0,2020-09-14,2020-09-14,2020-09-21,2020-09-21,False,False,-0.0012261903723461,-0.0096936675209356,-0.0084674771485895,0.0364295905849943,0.0366156981291168,0.00018610754412250186,0.0462156447231451,0.030015600055093,-0.0162000446680521,0.0082314904737662,0.0049158616753395,-0.003315628798426699
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-09-21,2,8.0,0.0,2020-09-07,2020-09-14,2020-09-21,2020-09-28,True,True,-0.04903853110315655,-0.02301239559575155,0.026026135507405,0.029817087008076053,0.0375803320413016,0.007763245033225549,-0.008504712411371948,0.0057553256430414,0.014260038054413348,0.0017317513081236495,0.0040061221724382,0.0022743708643145504
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-09-21,4,8.0,0.0,2020-08-24,2020-09-14,2020-09-21,2020-10-12,True,True,-0.039709267576028676,-0.006635793829306349,0.03307347374672233,0.0316998364537772,0.042722774322011124,0.011022937868233926,0.007635212857756927,0.0189283712219839,0.011293158364226973,0.007318507313843475,0.0076301645160099,0.000311657202166425
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-09-28,1,2.0,2.0,2020-09-21,2020-09-21,2020-09-28,2020-09-28,True,False,-0.0096936675209356,-0.0363311236705675,-0.026637456149631897,0.0366156981291168,0.0385449659534864,0.0019292678243695988,0.030015600055093,-0.0185049487690102,-0.0485205488241032,0.0049158616753395,0.0030963826695369,-0.0018194790058026003
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-09-28,2,2.0,2.0,2020-09-14,2020-09-21,2020-09-28,2020-10-05,True,True,-0.00545992894664085,-0.0119315798096011,-0.006471650862960249,0.03652264435705555,0.042523975566123,0.0060013312090674495,0.03811562238911905,0.014994239315904599,-0.02312138307321445,0.00657367607455285,0.00795032916180385,0.001376653087251001
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-09-28,4,2.0,2.0,2020-08-31,2020-09-21,2020-09-28,2020-10-19,True,True,-0.01782617490155725,-0.005237825915242024,0.012588348986315225,0.03544858328394953,0.04760173512985485,0.012153151845905319,0.025765708720589503,0.012057970699367624,-0.013707738021221879,0.008170833388832024,0.00975339085679515,0.001582557467963125
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-10-05,1,1.0,0.0,2020-09-28,2020-09-28,2020-10-05,2020-10-05,True,False,-0.0363311236705675,0.0124679640513653,0.048799087721932796,0.0385449659534864,0.0465029851787596,0.0079580192252732,-0.0185049487690102,0.0484934274008194,0.0669983761698296,0.0030963826695369,0.0128042756540708,0.0097078929845339
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-10-05,2,1.0,0.0,2020-09-21,2020-09-28,2020-10-05,2020-10-12,True,False,-0.02301239559575155,0.00974080793713885,0.0327532035328904,0.0375803320413016,0.04786521660272065,0.010284884561419051,0.0057553256430414,0.0321014168009264,0.026346091157885002,0.0040061221724382,0.0112542068595816,0.0072480846871434
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-10-05,4,1.0,0.0,2020-09-07,2020-09-28,2020-10-05,2020-10-26,True,True,-0.03602546334945405,-0.008718100587535225,0.027307362761918825,0.03369870952468883,0.04840821374837135,0.014709504223682522,-0.001374693384165274,0.0054306087804956,0.006805302164660874,0.002868936740280925,0.007521581513835324,0.004652644773554399
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-10-19,1,1.0,0.0,2020-10-12,2020-10-12,2020-10-19,2020-10-19,False,False,0.0070136518229124,-0.0041017958646783,-0.0111154476875907,0.0492274480266817,0.0561315413604917,0.0069040933338100005,0.0157094062010334,0.0025339979646279,-0.0131754082364055,0.0097041380650924,0.0134087670384805,0.0037046289733881008
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-10-19,2,1.0,0.0,2020-10-05,2020-10-12,2020-10-19,2020-10-26,True,False,0.00974080793713885,-0.0271770091122093,-0.03691781704934815,0.04786521660272065,0.048951210894022046,0.0010859942913013926,0.0321014168009264,-0.021240199239935198,-0.0533416160408616,0.0112542068595816,0.00378895616808905,-0.0074652506914925495
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-10-19,4,1.0,0.0,2020-09-21,2020-10-12,2020-10-19,2020-11-09,True,True,-0.006635793829306349,-0.04253559418141605,-0.035899800352109705,0.042722774322011124,0.03331234690188128,-0.009410427420129847,0.0189283712219839,-0.030851513151229276,-0.04977988437321318,0.0076301645160099,-0.012102010566818224,-0.019732175082828124
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-11-02,1,1.0,0.0,2020-10-26,2020-10-26,2020-11-02,2020-11-02,False,False,-0.0502522223597403,-0.0572380487531487,-0.006985826393408404,0.0417708804275524,0.0245689568835175,-0.017201923544034898,-0.0450143964444983,-0.0485199481656135,-0.003505551721115205,-0.0058308547023024,-0.0238392568648538,-0.0180084021625514
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-11-02,2,1.0,0.0,2020-10-19,2020-10-26,2020-11-02,2020-11-09,True,False,-0.0271770091122093,-0.057894179250622804,-0.030717170138413505,0.048951210894022046,0.017673482909740502,-0.03127772798428154,-0.021240199239935198,-0.040462827062523354,-0.019222627822588156,0.00378895616808905,-0.0279929773017255,-0.031781933469814554
cbsa,12060,"Atlanta-Sandy Springs-Roswell, GA",2020-11-02,4,1.0,0.0,2020-10-05,2020-10-26,2020-11-02,2020-11-23,True,True,-0.008718100587535225,-0.08239861952691088,-0.07368051893937566,0.04840821374837135,0.015797064540628424,-0.032611149207742926,0.0054306087804956,-0.0484133442498322,-0.0538439530303278,0.007521581513835324,-0.021321028052649325,-0.02884260956648465
