geography_level,geography_id,geography_label,event_week,window_size_weeks,game_count,playoff_game_count,pre_window_start,pre_window_end,post_window_start,post_window_end,has_overlapping_pre_event,has_overlapping_post_event,revenue_all_pre_mean,revenue_all_post_mean,revenue_all_delta,merchants_all_pre_mean,merchants_all_post_mean,merchants_all_delta,revenue_all_vs_rolling4_pre_mean,revenue_all_vs_rolling4_post_mean,revenue_all_vs_rolling4_delta,merchants_all_vs_rolling4_pre_mean,merchants_all_vs_rolling4_post_mean,merchants_all_vs_rolling4_delta
county,4013,Maricopa County,2020-01-06,1,4.0,0.0,2019-12-30,2019-12-30,2020-01-06,2020-01-06,False,False,,0.00356,,,-0.00288,,,,,,,
county,4013,Maricopa County,2020-01-06,2,4.0,0.0,2019-12-23,2019-12-30,2020-01-06,2020-01-13,False,True,,0.005955,,,-0.00034500000000000004,,,,,,,
county,4013,Maricopa County,2020-01-06,4,4.0,0.0,2019-12-09,2019-12-30,2020-01-06,2020-01-27,False,True,,0.0005275,,,6.249999999999995e-05,,,-0.0119791666666667,,,-0.00019416666666665023,
county,4013,Maricopa County,2020-01-13,1,2.0,0.0,2020-01-06,2020-01-06,2020-01-13,2020-01-13,True,False,0.00356,0.00835,0.00479,-0.00288,0.00219,0.00507,,,,,,
county,4013,Maricopa County,2020-01-13,2,2.0,0.0,2019-12-30,2020-01-06,2020-01-13,2020-01-20,True,True,0.00356,0.010525,0.006965,-0.00288,0.00395,0.006830000000000001,,0.0067449999999999,,,0.006055,
county,4013,Maricopa County,2020-01-13,4,2.0,0.0,2019-12-16,2020-01-06,2020-01-13,2020-02-03,True,True,0.00356,0.0036375,7.750000000000031e-05,-0.00288,-8.5e-05,0.002795,,-0.0028286111111111337,,,-0.0013069444444444335,
county,4013,Maricopa County,2020-01-20,1,2.0,0.0,2020-01-13,2020-01-13,2020-01-20,2020-01-20,True,False,0.00835,0.0127,0.00435,0.00219,0.00571,0.0035199999999999997,,0.0067449999999999,,,0.006055,
county,4013,Maricopa County,2020-01-20,2,2.0,0.0,2020-01-06,2020-01-13,2020-01-20,2020-01-27,True,True,0.005955,-0.0049,-0.010855,-0.00034500000000000004,0.00046999999999999993,0.000815,,-0.0119791666666667,,,-0.00019416666666665023,
county,4013,Maricopa County,2020-01-20,4,2.0,0.0,2019-12-23,2020-01-13,2020-01-20,2020-02-10,True,True,0.005955,0.0044,-0.001555,-0.00034500000000000004,-0.0035575,-0.0032125,,-0.0001808333333333501,,,-0.003883958333333325,
county,4013,Maricopa County,2020-01-27,1,3.0,0.0,2020-01-20,2020-01-20,2020-01-27,2020-01-27,True,False,0.0127,-0.0225,-0.035199999999999995,0.00571,-0.00477,-0.01048,0.0067449999999999,-0.0307033333333333,-0.0374483333333332,0.006055,-0.0064433333333333,-0.012498333333333299
county,4013,Maricopa County,2020-01-27,2,3.0,0.0,2020-01-13,2020-01-20,2020-01-27,2020-02-03,True,True,0.010525,-0.0032499999999999994,-0.013774999999999999,0.00395,-0.00412,-0.00807,0.0067449999999999,-0.0076154166666666506,-0.014360416666666551,0.006055,-0.00498791666666665,-0.011042916666666649
county,4013,Maricopa County,2020-01-27,4,3.0,0.0,2019-12-30,2020-01-20,2020-01-27,2020-02-17,True,True,0.008203333333333333,0.010400000000000001,0.002196666666666668,0.0016733333333333333,-0.006455,-0.008128333333333333,0.0067449999999999,0.006207916666666676,-0.0005370833333332246,0.006055,-0.005978333333333325,-0.012033333333333325
