venue_key,venue_name,venue_name_normalized,league,team_id,team_name,season_start,season_end,city,state,country,county_fips,county_name,cbsa_code,cbsa_name,latitude,longitude,source,source_url,confidence,notes
mlb:pho01,Chase Field,chase field,MLB,ARI,ARI,1998,2025,Phoenix,AZ,United States,04013,Maricopa County,38060,"Phoenix-Mesa-Chandler, AZ",33.4454856,-112.0666928,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: PHO01; geocode method: venue_city_state; geocode query: Chase Field Phoenix AZ
mlb:ana01,Angel Stadium of Anaheim,angel stadium of anaheim,MLB,ANA,ANA,1966,2025,Anaheim,CA,United States,06059,Orange County,31080,"Los Angeles-Long Beach-Anaheim, CA",33.8002599,-117.8817426,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: ANA01; geocode method: venue_city_state; geocode query: Angel Stadium of Anaheim Anaheim CA
mlb:los03,Dodger Stadium,dodger stadium,MLB,HOU,HOU,1962,2020,Los Angeles,CA,United States,06037,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",34.0736255,-118.2398452,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: LOS03; geocode method: venue_city_state; geocode query: Dodger Stadium Los Angeles CA
mlb:los03,Dodger Stadium,dodger stadium,MLB,LAN,LAN,1962,2025,Los Angeles,CA,United States,06037,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",34.0736255,-118.2398452,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: LOS03; geocode method: venue_city_state; geocode query: Dodger Stadium Los Angeles CA
mlb:los03,Dodger Stadium,dodger stadium,MLB,NLS,NLS,1962,2022,Los Angeles,CA,United States,06037,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",34.0736255,-118.2398452,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: LOS03; geocode method: venue_city_state; geocode query: Dodger Stadium Los Angeles CA
mlb:los03,Dodger Stadium,dodger stadium,MLB,OAK,OAK,1962,2020,Los Angeles,CA,United States,06037,Los Angeles County,31080,"Los Angeles-Long Beach-Anaheim, CA",34.0736255,-118.2398452,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: LOS03; geocode method: venue_city_state; geocode query: Dodger Stadium Los Angeles CA
mlb:oak01,Oakland-Alameda County Coliseum,oakland alameda county coliseum,MLB,OAK,OAK,1968,2024,Oakland,CA,United States,06001,Alameda County,41860,"San Francisco-Oakland-Fremont, CA",37.7516333,-122.2004749,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: OAK01; geocode method: venue_city_state; geocode query: Oakland-Alameda County Coliseum Oakland CA
mlb:san02,PETCO Park,petco park,MLB,HOU,HOU,2004,2020,San Diego,CA,United States,06073,San Diego County,41740,"San Diego-Chula Vista-Carlsbad, CA",32.7071874,-117.1569130,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: SAN02; geocode method: venue_city_state; geocode query: PETCO Park San Diego CA
mlb:san02,PETCO Park,petco park,MLB,NYA,NYA,2004,2020,San Diego,CA,United States,06073,San Diego County,41740,"San Diego-Chula Vista-Carlsbad, CA",32.7071874,-117.1569130,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: SAN02; geocode method: venue_city_state; geocode query: PETCO Park San Diego CA
mlb:san02,PETCO Park,petco park,MLB,SDN,SDN,2004,2025,San Diego,CA,United States,06073,San Diego County,41740,"San Diego-Chula Vista-Carlsbad, CA",32.7071874,-117.1569130,Retrosheet parkcode.txt + OpenStreetMap Nominatim + U.S. Census Geocoder,https://www.retrosheet.org/parkcode.txt; https://nominatim.openstreetmap.org/; https://geocoding.geo.census.gov/,high,source venue code: SAN02; geocode method: venue_city_state; geocode query: PETCO Park San Diego CA
